OKPD,TNVED,name_OKPD,name_TNVED
17.1,4802,"Производство целлюлозы, древесной массы, бумаги и картона","БУМАГА И КАРТОН НЕМЕЛОВАННЫЕ, ИСПОЛЬЗУЕМЫЕ ДЛЯ ПИСЬМА, ПЕЧАТИ ИЛИ ДРУГИХ ГРАФИЧЕСКИХ ЦЕЛЕЙ, И НЕПЕРФОРИРОВАННЫЕ КАРТЫ И НЕПЕРФОРИРОВАННЫЕ БУМАЖНЫЕ ЛЕНТЫ, В РУЛОНАХ ИЛИ ПРЯМОУГОЛЬНЫХ (ВКЛЮЧАЯ КВАДРАТНЫЕ) ЛИСТАХ ЛЮБОГО РАЗМЕРА, КРОМЕ БУМАГИ ТОВАРНОЙ ПОЗИЦИИ 4801 ИЛИ 4803; БУМАГА И КАРТОН РУЧНОГО ОТЛИВА"
17.1,4805,"Производство целлюлозы, древесной массы, бумаги и картона","БУМАГА И КАРТОН НЕМЕЛОВАННЫЕ ПРОЧИЕ, В РУЛОНАХ ИЛИ ЛИСТАХ, БЕЗ ДАЛЬНЕЙШЕЙ ОБРАБОТКИ ИЛИ ОБРАБОТАННЫЕ, КАК ЭТО УКАЗАНО В ПРИМЕЧАНИИ 3 К ДАННОЙ ГРУППЕ"
17.1,4810,"Производство целлюлозы, древесной массы, бумаги и картона","БУМАГА И КАРТОН, ПОКРЫТЫЕ С ОДНОЙ ИЛИ С ОБЕИХ СТОРОН КАОЛИНОМ (КИТАЙСКОЙ ГЛИНОЙ) ИЛИ ДРУГИМИ НЕОРГАНИЧЕСКИМИ ВЕЩЕСТВАМИ, С ИСПОЛЬЗОВАНИЕМ СВЯЗУЮЩЕГО ВЕЩЕСТВА ИЛИ БЕЗ НЕГО, И БЕЗ КАКОГО-ЛИБО ДРУГОГО ПОКРЫТИЯ, С ОКРАШЕННОЙ ИЛИ НЕОКРАШЕННОЙ, ДЕКОРИРОВАННОЙ ИЛИ НЕДЕКОРИРОВАННОЙ ПОВЕРХНОСТЬЮ, НАПЕЧАТАННЫЕ ИЛИ НЕНАПЕЧАТАННЫЕ, В РУЛОНАХ ИЛИ ПРЯМОУГОЛЬНЫХ (ВКЛЮЧАЯ КВАДРАТНЫЕ) ЛИСТАХ ЛЮБОГО РАЗМЕРА"
19.2,2712,Производство нефтепродуктов,"ВАЗЕЛИН НЕФТЯНОЙ; ПАРАФИН, ВОСК НЕФТЯНОЙ МИКРОКРИСТАЛЛИЧЕСКИЙ, ГАЧ ПАРАФИНОВЫЙ, ОЗОКЕРИТ, ВОСК БУРОУГОЛЬНЫЙ, ВОСК ТОРФЯНОЙ, ПРОЧИЕ МИНЕРАЛЬНЫЕ ВОСКИ И АНАЛОГИЧНЫЕ ПРОДУКТЫ, ПОЛУЧЕННЫЕ В РЕЗУЛЬТАТЕ СИНТЕЗА ИЛИ ДРУГИХ ПРОЦЕССОВ, ОКРАШЕННЫЕ ИЛИ НЕОКРАШЕННЫЕ"
20.1,2811,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",КИСЛОТЫ НЕОРГАНИЧЕСКИЕ ПРОЧИЕ И СОЕДИНЕНИЯ НЕМЕТАЛЛОВ С КИСЛОРОДОМ НЕОРГАНИЧЕСКИЕ ПРОЧИЕ
20.1,2932,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","СОЕДИНЕНИЯ ГЕТЕРОЦИКЛИЧЕСКИЕ, СОДЕРЖАЩИЕ ЛИШЬ ГЕТЕРОАТОМ(Ы) КИСЛОРОДА"
24.1,7210,"Производство чугуна, стали и ферросплавов","ПРОКАТ ПЛОСКИЙ ИЗ ЖЕЛЕЗА ИЛИ НЕЛЕГИРОВАННОЙ СТАЛИ ШИРИНОЙ 600 ММ ИЛИ БОЛЕЕ, ПЛАКИРОВАННЫЙ, С ГАЛЬВАНИЧЕСКИМ ИЛИ ДРУГИМ ПОКРЫТИЕМ"
26.1,8540,Компоненты электронные и платы,"ЛАМПЫ И ТРУБКИ ЭЛЕКТРОННЫЕ С ТЕРМОКАТОДОМ, ХОЛОДНЫМ КАТОДОМ ИЛИ ФОТОКАТОДОМ (НАПРИМЕР, ВАКУУМНЫЕ ИЛИ ПАРО- ИЛИ ГАЗОНАПОЛНЕННЫЕ ЛАМПЫ И ТРУБКИ, РТУТНЫЕ ДУГОВЫЕ ВЫПРЯМИТЕЛЬНЫЕ ЛАМПЫ И ТРУБКИ И ЭЛЕКТРОННО-ЛУЧЕВЫЕ ТРУБКИ, ТЕЛЕВИЗИОННЫЕ ТРУБКИ ПЕРЕДАЮЩИЕ)"
26.7,9006,Приборы оптические и фотографическое оборудование,"ФОТОКАМЕРЫ (КРОМЕ КИНОКАМЕР); ФОТОВСПЫШКИ И ЛАМПЫ-ВСПЫШКИ, КРОМЕ ГАЗОРАЗРЯДНЫХ ЛАМП ТОВАРНОЙ ПОЗИЦИИ 8539"
27.1,8504,"Электродвигатели, генераторы, трансформаторы и электрическая распределительная и контрольно-измерительная аппаратура","ТРАНСФОРМАТОРЫ ЭЛЕКТРИЧЕСКИЕ, СТАТИЧЕСКИЕ ЭЛЕКТРИЧЕСКИЕ ПРЕОБРАЗОВАТЕЛИ (НАПРИМЕР, ВЫПРЯМИТЕЛИ), КАТУШКИ ИНДУКТИВНОСТИ И ДРОССЕЛИ"
27.4,8539,Оборудование электрическое осветительное,"ЛАМПЫ НАКАЛИВАНИЯ ЭЛЕКТРИЧЕСКИЕ ИЛИ ГАЗОРАЗРЯДНЫЕ, ВКЛЮЧАЯ ЛАМПЫ ГЕРМЕТИЧНЫЕ НАПРАВЛЕННОГО СВЕТА, А ТАКЖЕ УЛЬТРАФИОЛЕТОВЫЕ ИЛИ ИНФРАКРАСНЫЕ ЛАМПЫ; ДУГОВЫЕ ЛАМПЫ"
28.1,8412,Машины и оборудование общего назначения,ДВИГАТЕЛИ И СИЛОВЫЕ УСТАНОВКИ ПРОЧИЕ
28.3,8433,Машины и оборудование для сельского и лесного хозяйства,"МАШИНЫ ИЛИ МЕХАНИЗМЫ ДЛЯ УБОРКИ ИЛИ ОБМОЛОТА СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР, ВКЛЮЧАЯ ПРЕСС-ПОДБОРЩИКИ, ПРЕССЫ ДЛЯ УПАКОВКИ В КИПЫ СОЛОМЫ ИЛИ СЕНА; СЕНОКОСИЛКИ ИЛИ ГАЗОНОКОСИЛКИ; МАШИНЫ ДЛЯ ОЧИСТКИ, СОРТИРОВКИ ИЛИ КАЛИБРОВКИ ЯИЦ, ПЛОДОВ ИЛИ ДРУГИХ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ПРОДУКТОВ, КРОМЕ МАШИН ТОВАРНОЙ ПОЗИЦИИ 8437"
28.9,8448,Оборудование специального назначения прочее,"ОБОРУДОВАНИЕ ВСПОМОГАТЕЛЬНОЕ ДЛЯ ИСПОЛЬЗОВАНИЯ С МАШИНАМИ ТОВАРНОЙ ПОЗИЦИИ 8444, 8445, 8446 ИЛИ 8447 (НАПРИМЕР, РЕМИЗОПОДЪЕМНЫЕ КАРЕТКИ, ЖАККАРДОВЫЕ МАШИНЫ, АВТОМАТИЧЕСКИЕ МЕХАНИЗМЫ ОСТАНОВА, МЕХАНИЗМЫ СМЕНЫ ЧЕЛНОКОВ); ЧАСТИ И ПРИНАДЛЕЖНОСТИ, ПРЕДНАЗНАЧЕННЫЕ ИСКЛЮЧИТЕЛЬНО ИЛИ В ОСНОВНОМ ДЛЯ МАШИН ДАННОЙ ТОВАРНОЙ ПОЗИЦИИ ИЛИ ТОВАРНОЙ ПОЗИЦИИ 8444, 8445, 8446 ИЛИ 8447 (НАПРИМЕР, ВЕРЕТЕНА И РОГУЛЬКИ, ИГОЛЬЧАТАЯ ГАРНИТУРА, ГРЕБНИ, ФИЛЬЕРЫ, ЧЕЛНОКИ, РЕМИЗКИ И РЕМИЗНЫЕ РАМЫ, ТРИКОТАЖНЫЕ ИГЛЫ)"
28.9,8479,Оборудование специального назначения прочее,"МАШИНЫ И МЕХАНИЧЕСКИЕ УСТРОЙСТВА, ИМЕЮЩИЕ ИНДИВИДУАЛЬНЫЕ ФУНКЦИИ, В ДРУГОМ МЕСТЕ ДАННОЙ ГРУППЫ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ"
01.1,2401,Культуры однолетние,ТАБАЧНОЕ СЫРЬЕ; ТАБАЧНЫЕ ОТХОДЫ
10.1,0208,Переработка и консервирование мяса и мясной пищевой продукции,"ПРОЧИЕ МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ"
10.3,2001,Переработка и консервирование фруктов и овощей,"ОВОЩИ, ФРУКТЫ, ОРЕХИ И ДРУГИЕ СЪЕДОБНЫЕ ЧАСТИ РАСТЕНИЙ, ПРИГОТОВЛЕННЫЕ ИЛИ КОНСЕРВИРОВАННЫЕ С ДОБАВЛЕНИЕМ УКСУСА ИЛИ УКСУСНОЙ КИСЛОТЫ"
10.5,0405,Производство молочной продукции,"СЛИВОЧНОЕ МАСЛО И ПРОЧИЕ ЖИРЫ И МАСЛА, ИЗГОТОВЛЕННЫЕ ИЗ МОЛОКА; МОЛОЧНЫЕ ПАСТЫ"
10.6,1904,"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов","ГОТОВЫЕ ПИЩЕВЫЕ ПРОДУКТЫ, ПОЛУЧЕННЫЕ ПУТЕМ ВЗДУВАНИЯ ИЛИ ОБЖАРИВАНИЯ ЗЕРНА ЗЛАКОВ ИЛИ ЗЕРНОВЫХ ПРОДУКТОВ (НАПРИМЕР, КУКУРУЗНЫЕ ХЛОПЬЯ); ЗЛАКИ (КРОМЕ ЗЕРНА КУКУРУЗЫ) В ВИДЕ ЗЕРНА ИЛИ В ВИДЕ ХЛОПЬЕВ ИЛИ ЗЕРНА, ОБРАБОТАННОГО ИНЫМ СПОСОБОМ (ЗА ИСКЛЮЧЕНИЕМ МУКИ ТОНКОГО И ГРУБОГО ПОМОЛА, КРУПЫ), ПРЕДВАРИТЕЛЬНО ОТВАРЕННЫЕ ИЛИ ПРИГОТОВЛЕННЫЕ ИНЫМ СПОСОБОМ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ"
10.8,2101,Производство прочих пищевых продуктов,"ЭКСТРАКТЫ, ЭССЕНЦИИ И КОНЦЕНТРАТЫ КОФЕ, ЧАЯ ИЛИ МАТЕ, ИЛИ ПАРАГВАЙСКОГО ЧАЯ, И ГОТОВЫЕ ПРОДУКТЫ НА ИХ ОСНОВЕ ИЛИ НА ОСНОВЕ КОФЕ, ЧАЯ ИЛИ МАТЕ, ИЛИ ПАРАГВАЙСКОГО ЧАЯ; ОБЖАРЕННЫЙ ЦИКОРИЙ И ПРОЧИЕ ОБЖАРЕННЫЕ ЗАМЕНИТЕЛИ КОФЕ И ЭКСТРАКТЫ, ЭССЕНЦИИ И КОНЦЕНТРАТЫ ИЗ НИХ"
13.2,5212,Производство текстильных тканей,М2-ТКАНИ ХЛОПЧАТОБУМАЖНЫЕ ПРОЧИЕ
20.1,2835,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","ФОСФИНАТЫ (ГИПОФОСФИТЫ), ФОСФОНАТЫ (ФОСФИТЫ) И ФОСФАТЫ; ПОЛИФОСФАТЫ ОПРЕДЕЛЕННОГО ИЛИ НЕОПРЕДЕЛЕННОГО ХИМИЧЕСКОГО СОСТАВА"
20.1,2836,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","КАРБОНАТЫ; ПЕРОКСОКАРБОНАТЫ (ПЕРКАРБОНАТЫ); КАРБОНАТ АММОНИЯ ТЕХНИЧЕСКИЙ, СОДЕРЖАЩИЙ КАРБАМАТ АММОНИЯ"
20.1,2904,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","СУЛЬФИРОВАННЫЕ, НИТРОВАННЫЕ ИЛИ НИТРОЗИРОВАННЫЕ ПРОИЗВОДНЫЕ УГЛЕВОДОРОДОВ, ГАЛОГЕНИРОВАННЫЕ ИЛИ НЕГАЛОГЕНИРОВАННЫЕ"
20.1,2909,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","ЭФИРЫ ПРОСТЫЕ, ЭФИРОСПИРТЫ, ЭФИРОФЕНОЛЫ, ЭФИРОСПИРТОФЕНОЛЫ, ПЕРОКСИДЫ СПИРТОВ, ПРОСТЫХ ЭФИРОВ И КЕТОНОВ (ОПРЕДЕЛЕННОГО ИЛИ НЕОПРЕДЕЛЕННОГО ХИМИЧЕСКОГО СОСТАВА) И ИХ ГАЛОГЕНИРОВАННЫЕ, СУЛЬФИРОВАННЫЕ, НИТРОВАННЫЕ ИЛИ НИТРОЗИРОВАННЫЕ ПРОИЗВОДНЫЕ"
20.1,2912,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","АЛЬДЕГИДЫ, СОДЕРЖАЩИЕ ИЛИ НЕ СОДЕРЖАЩИЕ ДРУГУЮ КИСЛОРОДСОДЕРЖАЩУЮ ФУНКЦИОНАЛЬНУЮ ГРУППУ; ПОЛИМЕРЫ АЛЬДЕГИДОВ ЦИКЛИЧЕСКИЕ; ПАРАФОРМАЛЬДЕГИД"
20.1,3204,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","ОРГАНИЧЕСКИЕ КРАСЯЩИЕ ВЕЩЕСТВА СИНТЕТИЧЕСКИЕ, ОПРЕДЕЛЕННОГО ИЛИ НЕОПРЕДЕЛЕННОГО ХИМИЧЕСКОГО СОСТАВА; ПРЕПАРАТЫ, ИЗГОТОВЛЕННЫЕ НА ОСНОВЕ СИНТЕТИЧЕСКИХ ОРГАНИЧЕСКИХ КРАСЯЩИХ ВЕЩЕСТВ, УКАЗАННЫЕ В ПРИМЕЧАНИИ 3 К ДАННОЙ ГРУППЕ; СИНТЕТИЧЕСКИЕ ОРГАНИЧЕСКИЕ ПРОДУКТЫ, ИСПОЛЬЗУЕМЫЕ В КАЧЕСТВЕ ОПТИЧЕСКИХ ОТБЕЛИВАТЕЛЕЙ ИЛИ ЛЮМИНОФОРОВ, ОПРЕДЕЛЕННОГО ИЛИ НЕОПРЕДЕЛЕННОГО ХИМИЧЕСКОГО СОСТАВА"
20.1,3907,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","ПОЛИАЦЕТАЛИ, ПОЛИЭФИРЫ ПРОСТЫЕ ПРОЧИЕ И СМОЛЫ ЭПОКСИДНЫЕ В ПЕРВИЧНЫХ ФОРМАХ; ПОЛИКАРБОНАТЫ, СМОЛЫ АЛКИДНЫЕ, СЛОЖНЫЕ ПОЛИАЛЛИЛЬНЫЕ ЭФИРЫ И ПРОЧИЕ СЛОЖНЫЕ ПОЛИЭФИРЫ В ПЕРВИЧНЫХ ФОРМАХ"
21.1,2936,Производство фармацевтических субстанций,"ПРОВИТАМИНЫ И ВИТАМИНЫ, ПРИРОДНЫЕ ИЛИ СИНТЕЗИРОВАННЫЕ (ВКЛЮЧАЯ ПРИРОДНЫЕ КОНЦЕНТРАТЫ), ИХ ПРОИЗВОДНЫЕ, ИСПОЛЬЗУЕМЫЕ В ОСНОВНОМ В КАЧЕСТВЕ ВИТАМИНОВ, И СМЕСИ ЭТИХ СОЕДИНЕНИЙ, В ТОМ ЧИСЛЕ В ЛЮБОМ РАСТВОРИТЕЛЕ"
21.2,3003,"Производство лекарственных препаратов и материалов, применяемых в медицинских целях","ЛЕКАРСТВЕННЫЕ СРЕДСТВА (КРОМЕ ТОВАРОВ ТОВАРНОЙ ПОЗИЦИИ 3002, 3005 ИЛИ 3006), СОСТОЯЩИЕ ИЗ СМЕСИ ДВУХ ИЛИ БОЛЕЕ КОМПОНЕНТОВ, ДЛЯ ИСПОЛЬЗОВАНИЯ В ТЕРАПЕВТИЧЕСКИХ ИЛИ ПРОФИЛАКТИЧЕСКИХ ЦЕЛЯХ, НО НЕ РАСФАСОВАННЫЕ В ВИДЕ ДОЗИРОВАННЫХ ЛЕКАРСТВЕННЫХ ФОРМ ИЛИ В ФОРМЫ ИЛИ УПАКОВКИ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ"
22.1,4010,Производство резиновых изделий,"ЛЕНТЫ КОНВЕЙЕРНЫЕ ИЛИ РЕМНИ ПРИВОДНЫЕ, ИЛИ БЕЛЬТИНГ, ИЗ ВУЛКАНИЗОВАННОЙ РЕЗИНЫ"
22.2,3917,Производство изделий из пластмасс,"ТРУБЫ, ТРУБКИ, ШЛАНГИ И ИХ ФИТИНГИ (НАПРИМЕР, СОЕДИНЕНИЯ, КОЛЕНА, ФЛАНЦЫ), ИЗ ПЛАСТМАСС"
23.1,7013,Производство стекла и изделий из стекла,"ПОСУДА СТОЛОВАЯ И КУХОННАЯ, ПРИНАДЛЕЖНОСТИ ТУАЛЕТНЫЕ И КАНЦЕЛЯРСКИЕ, ИЗДЕЛИЯ ДЛЯ ДОМАШНЕГО УБРАНСТВА ИЛИ АНАЛОГИЧНЫХ ЦЕЛЕЙ, СТЕКЛЯННЫЕ (КРОМЕ ИЗДЕЛИЙ ТОВАРНОЙ ПОЗИЦИИ 7010 ИЛИ 7018)"
24.2,7306,"Производство стальных труб, полых профилей и фитингов","ТРУБЫ, ТРУБКИ И ПРОФИЛИ ПОЛЫЕ ПРОЧИЕ (НАПРИМЕР, С ОТКРЫТЫМ ШВОМ ИЛИ СВАРНЫЕ, КЛЕПАНЫЕ ИЛИ СОЕДИНЕННЫЕ АНАЛОГИЧНЫМ СПОСОБОМ), ИЗ ЧЕРНЫХ МЕТАЛЛОВ"
25.9,7314,Изделия металлические готовые прочие,"МЕТАЛЛИЧЕСКАЯ ТКАНЬ (ВКЛЮЧАЯ БЕСКОНЕЧНЫЕ ЛЕНТЫ), РЕШЕТКИ, СЕТКИ И ОГРАЖДЕНИЯ ИЗ ПРОВОЛОКИ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ; ПРОСЕЧНО-ВЫТЯЖНОЙ ЛИСТ ИЗ ЧЕРНЫХ МЕТАЛЛОВ"
28.1,8481,Машины и оборудование общего назначения,"КРАНЫ, КЛАПАНЫ, ВЕНТИЛИ И АНАЛОГИЧНАЯ АРМАТУРА ДЛЯ ТРУБОПРОВОДОВ, КОТЛОВ, РЕЗЕРВУАРОВ, ЦИСТЕРН, БАКОВ ИЛИ АНАЛОГИЧНЫХ ЕМКОСТЕЙ, ВКЛЮЧАЯ РЕДУКЦИОННЫЕ И ТЕРМОРЕГУЛИРУЕМЫЕ КЛАПАНЫ"
28.2,8467,Машины и оборудование общего назначения прочие,"ИНСТРУМЕНТЫ РУЧНЫЕ ПНЕВМАТИЧЕСКИЕ, ГИДРАВЛИЧЕСКИЕ ИЛИ СО ВСТРОЕННЫМ ЭЛЕКТРИЧЕСКИМ ИЛИ НЕЭЛЕКТРИЧЕСКИМ ДВИГАТЕЛЕМ"
28.4,8460,Оборудование металлообрабатывающее и станки,"СТАНКИ ОБДИРОЧНО-ШЛИФОВАЛЬНЫЕ, ЗАТОЧНЫЕ, ШЛИФОВАЛЬНЫЕ, ХОНИНГОВАЛЬНЫЕ, ПРИТИРОЧНЫЕ, ПОЛИРОВАЛЬНЫЕ И ДЛЯ ВЫПОЛНЕНИЯ ДРУГИХ ОПЕРАЦИЙ ЧИСТОВОЙ ОБРАБОТКИ МЕТАЛЛОВ ИЛИ МЕТАЛЛОКЕРАМИКИ С ПОМОЩЬЮ ШЛИФОВАЛЬНЫХ КАМНЕЙ, АБРАЗИВОВ ИЛИ ПОЛИРУЮЩИХ СРЕДСТВ, КРОМЕ ЗУБОРЕЗНЫХ, ЗУБОШЛИФОВАЛЬНЫХ ИЛИ ЗУБООТДЕЛОЧНЫХ СТАНКОВ ТОВАРНОЙ ПОЗИЦИИ 8461"
28.9,8443,Оборудование специального назначения прочее,"МАШИНЫ ПЕЧАТНЫЕ, ИСПОЛЬЗУЕМЫЕ ДЛЯ ПЕЧАТИ ПОСРЕДСТВОМ ПЛАСТИН, ЦИЛИНДРОВ И ДРУГИХ ПЕЧАТНЫХ ФОРМ ТОВАРНОЙ ПОЗИЦИИ 8442; ПРОЧИЕ ПРИНТЕРЫ, КОПИРОВАЛЬНЫЕ АППАРАТЫ И ФАКСИМИЛЬНЫЕ АППАРАТЫ, ОБЪЕДИНЕННЫЕ ИЛИ НЕОБЪЕДИНЕННЫЕ; ИХ ЧАСТИ И ПРИНАДЛЕЖНОСТИ"
58.2,8523,Услуги по изданию программного обеспечения,"ДИСКИ, ЛЕНТЫ, ТВЕРДОТЕЛЬНЫЕ ЭНЕРГОНЕЗАВИСИМЫЕ УСТРОЙСТВА ХРАНЕНИЯ ДАННЫХ, ""ИНТЕЛЛЕКТУАЛЬНЫЕ КАРТОЧКИ"" И ДРУГИЕ НОСИТЕЛИ ДЛЯ ЗАПИСИ ЗВУКА ИЛИ ДРУГИХ ЯВЛЕНИЙ, ЗАПИСАННЫЕ ИЛИ НЕЗАПИСАННЫЕ, ВКЛЮЧАЯ МАТРИЦЫ И МАСТЕР-ДИСКИ ДЛЯ ИЗГОТОВЛЕНИЯ ДИСКОВ, КРОМЕ ИЗДЕЛИЙ ГРУППЫ 37"
01.1,1006,Культуры однолетние,РИС
01.2,1211,Культуры многолетние,"РАСТЕНИЯ И ИХ ЧАСТИ (ВКЛЮЧАЯ СЕМЕНА И ПЛОДЫ), ИСПОЛЬЗУЕМЫЕ ГЛАВНЫМ ОБРАЗОМ В ПАРФЮМЕРИИ, ФАРМАЦИИ ИЛИ ИНСЕКТИЦИДНЫХ, ФУНГИЦИДНЫХ ИЛИ АНАЛОГИЧНЫХ ЦЕЛЯХ, СВЕЖИЕ ИЛИ СУШЕНЫЕ, ЦЕЛЫЕ ИЛИ ИЗМЕЛЬЧЕННЫЕ, ДРОБЛЕНЫЕ ИЛИ МОЛОТЫЕ"
01.3,0602,"Материалы растительные: растения живые; луковицы, клубнелуковицы и корневища; отводки и черенки; грибницы","ПРОЧИЕ ЖИВЫЕ РАСТЕНИЯ (ВКЛЮЧАЯ ИХ КОРНИ), ЧЕРЕНКИ И ОТВОДКИ; МИЦЕЛИЙ ГРИБА"
03.1,0301,"Рыба и прочая продукция рыболовства; услуги, связанные с рыболовством",ЖИВАЯ РЫБА
10.4,1512,Производство растительных и животных масел и жиров,"МАСЛО ПОДСОЛНЕЧНОЕ, САФЛОРОВОЕ ИЛИ ХЛОПКОВОЕ И ИХ ФРАКЦИИ, НЕРАФИНИРОВАННЫЕ ИЛИ РАФИНИРОВАННЫЕ, НО БЕЗ ИЗМЕНЕНИЯ ХИМИЧЕСКОГО СОСТАВА"
10.6,2302,"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов","ОТРУБИ, ВЫСЕВКИ, МЕСЯТКИ И ПРОЧИЕ ОСТАТКИ ОТ ПРОСЕИВАНИЯ, ПОМОЛА ИЛИ ДРУГИХ СПОСОБОВ ПЕРЕРАБОТКИ ЗЕРНА ЗЛАКОВ ИЛИ БОБОВЫХ КУЛЬТУР, НЕГРАНУЛИРОВАННЫЕ ИЛИ ГРАНУЛИРОВАННЫЕ"
10.8,0408,Производство прочих пищевых продуктов,"ЯЙЦА ПТИЦ БЕЗ СКОРЛУПЫ И ЯИЧНЫЕ ЖЕЛТКИ, СВЕЖИЕ, СУШЕНЫЕ, СВАРЕННЫЕ НА ПАРУ ИЛИ В КИПЯЩЕЙ ВОДЕ, ФОРМОВАННЫЕ, ЗАМОРОЖЕННЫЕ ИЛИ КОНСЕРВИРОВАННЫЕ ДРУГИМ СПОСОБОМ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
10.8,1701,Производство прочих пищевых продуктов,"САХАР ТРОСТНИКОВЫЙ ИЛИ СВЕКЛОВИЧНЫЙ И ХИМИЧЕСКИ ЧИСТАЯ САХАРОЗА, В ТВЕРДОМ СОСТОЯНИИ"
10.8,2106,Производство прочих пищевых продуктов,"ПИЩЕВЫЕ ПРОДУКТЫ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ"
13.2,5408,Производство текстильных тканей,"М2-ТКАНИ ИЗ ИСКУССТВЕННЫХ КОМПЛЕКСНЫХ НИТЕЙ, ВКЛЮЧАЯ ТКАНИ, ИЗГОТАВЛИВАЕМЫЕ ИЗ МАТЕРИАЛОВ ТОВАРНОЙ ПОЗИЦИИ 5405"
13.2,5515,Производство текстильных тканей,М2-ТКАНИ ИЗ СИНТЕТИЧЕСКИХ ВОЛОКОН ПРОЧИЕ
14.3,6115,Производство вязаных и трикотажных изделий одежды,"КОЛГОТЫ, ЧУЛКИ, ГОЛЬФЫ, НОСКИ И ПОДСЛЕДНИКИ И ПРОЧИЕ ЧУЛОЧНО-НОСОЧНЫЕ ИЗДЕЛИЯ, ВКЛЮЧАЯ КОМПРЕССИОННЫЕ ЧУЛОЧНО-НОСОЧНЫЕ ИЗДЕЛИЯ С РАСПРЕДЕЛЕННЫМ ДАВЛЕНИЕМ (НАПРИМЕР, ЧУЛКИ ДЛЯ СТРАДАЮЩИХ ВАРИКОЗНЫМ РАСШИРЕНИЕМ ВЕН) И ОБУВЬ БЕЗ ПОДОШВ, ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ"
20.1,2812,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",ГАЛОГЕНИДЫ И ГАЛОГЕНИД ОКСИДЫ НЕМЕТАЛЛОВ
20.1,2907,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",ФЕНОЛЫ; ФЕНОЛОСПИРТЫ
20.1,2920,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","СЛОЖНЫЕ ЭФИРЫ ПРОЧИХ НЕОРГАНИЧЕСКИХ КИСЛОТ НЕМЕТАЛЛОВ (КРОМЕ СЛОЖНЫХ ЭФИРОВ ГАЛОГЕНВОДОРОДОВ) И ИХ СОЛИ; ИХ ГАЛОГЕНИРОВАННЫЕ, СУЛЬФИРОВАННЫЕ, НИТРОВАННЫЕ ИЛИ НИТРОЗИРОВАННЫЕ ПРОИЗВОДНЫЕ"
20.1,3102,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","КГ N-УДОБРЕНИЯ МИНЕРАЛЬНЫЕ ИЛИ ХИМИЧЕСКИЕ, АЗОТНЫЕ"
20.1,3904,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","ПОЛИМЕРЫ ВИНИЛХЛОРИДА ИЛИ ПРОЧИХ ГАЛОГЕНИРОВАННЫХ ОЛЕФИНОВ, В ПЕРВИЧНЫХ ФОРМАХ"
21.1,2933,Производство фармацевтических субстанций,"СОЕДИНЕНИЯ ГЕТЕРОЦИКЛИЧЕСКИЕ, СОДЕРЖАЩИЕ ЛИШЬ ГЕТЕРОАТОМ(Ы) АЗОТА"
